Question,Category,Answer
Hi,Greeting,Hi! How can I assist you today?
Hello,Greeting,Hi! How can I assist you today?
Why is my period so heavy this month?,Menstrual Health,"Heavy periods can be caused by hormonal imbalances, fibroids, or changes in birth control. If severe, consult a doctor."
What causes a missed period besides pregnancy?,Menstrual Health,"Stress, weight changes, and hormonal fluctuations can all cause a missed period. If persistent, take a pregnancy test or consult a doctor."
Why do I have period cramps but no bleeding?,Menstrual Health,"Cramping without bleeding could be due to ovulation, implantation, or hormonal shifts."
Is it normal to have clots in my period blood?,Menstrual Health,"Small clots in period blood are normal, but large or frequent clots may indicate a medical issue like fibroids."
Why do I feel dizzy during my period?,Menstrual Symptoms,"Dizziness during menstruation may be due to blood loss, low iron levels, or dehydration."
How can I reduce period cramps naturally?,Menstrual Symptoms,"Applying heat, staying hydrated, and light exercise can help relieve cramps naturally."
Why does my period smell different?,Menstrual Health,"Period blood smell can change due to diet, hygiene, or infections."
Why do I feel depressed before my period?,PMS,"Mood changes before a period are linked to hormonal fluctuations, particularly in serotonin levels."
How do I know if I have a hormonal imbalance?,Hormonal Health,"Hormonal imbalances can cause irregular periods, acne, and weight changes. A doctor can confirm with blood tests."
Can stress cause my period to be late?,Hormonal Health,"Yes, stress can delay ovulation, leading to a late period."
What are the signs of estrogen dominance?,Hormonal Health,"Symptoms include fatigue, mood swings, weight gain, and irregular periods."
How does PCOS affect fertility?,Hormonal Health,"PCOS can disrupt ovulation, making conception harder. Medications or lifestyle changes can help."
Why do I get acne before my period?,Hormonal Health,"Hormonal fluctuations before a period can increase oil production, causing acne."
Can diet help regulate my hormones?,Hormonal Health,A balanced diet with healthy fats and less processed sugar can help regulate hormones.
Why do I have excessive hair growth on my face?,Hormonal Health,"Excess hair growth (hirsutism) is often linked to high androgen levels, common in PCOS."
Why does my vagina itch before my period?,Vaginal Health,Itching before your period may be due to hormonal changes or yeast infections.
What does white discharge mean?,Vaginal Health,"White discharge is usually normal, but if thick and clumpy, it could indicate an infection."
How do I know if I have a yeast infection?,Vaginal Health,"Common signs of a yeast infection include itching, burning, and thick white discharge."
Why does my vagina smell stronger after my period?,Vaginal Health,Hormonal changes during the menstrual cycle can affect vaginal odor.
What causes pain during intercourse?,Vaginal Health,"Pain during intercourse can be due to infections, dryness, or conditions like endometriosis."
Why do I have spotting after my period?,Vaginal Health,"Spotting could be due to hormonal fluctuations, implantation, or infections."
What are early signs of pregnancy?,Pregnancy,"Early pregnancy signs include nausea, fatigue, sore breasts, and missed periods."
Can I get pregnant right after my period?,Pregnancy,"Yes, pregnancy is possible if ovulation occurs early in your cycle."
How do I track ovulation for pregnancy?,Pregnancy,Tracking basal body temperature and cervical mucus can help identify ovulation.
Can birth control affect future fertility?,Pregnancy,Long-term use of birth control does not typically cause infertility.
Why am I not getting pregnant despite trying?,Pregnancy,"Fertility issues can stem from hormonal imbalances, PCOS, or underlying health conditions."
What are the first symptoms of menopause?,Menopause,"Early menopause symptoms include hot flashes, mood swings, and irregular periods."
Why do I have hot flashes at night?,Menopause,Hot flashes occur due to estrogen fluctuations during menopause.
How does menopause affect my mood?,Menopause,Mood changes in menopause result from declining estrogen and progesterone levels.
Can I still get pregnant during perimenopause?,Menopause,"Yes, pregnancy is possible until menopause is fully reached (12 months without a period)."
Why does my period last longer than usual?,Menstrual Health,"Longer periods can be caused by hormonal changes, fibroids, or medications."
